-- ADDRESS


insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 37439, 'Alcácer do Sal', '6 Heath Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 69459, 'Nueve de Julio', '232 Ronald Regan Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 56876, 'Subotica', '81 Grayhawk Drive');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 73870, 'Coaldale', '06 Alpine Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 72897, 'Douane', '08627 Beilfuss Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 60541, 'Khanu Woralaksaburi', '676 Hallows Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 41703, 'Kangar', '3 Canary Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 66856, 'Medellín', '26405 Arizona Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 18962, 'Hacıqabul', '663 Claremont Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 94089, 'Rio Negro', '07 Maple Wood Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 20730, 'Jiadingzhen', '43346 Summerview Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 22407, 'Concepción', '8361 Vernon Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 14406, 'Lowayu', '9909 Northview Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 53326, 'Guayabo Dulce', '9 Kenwood Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 24992, 'Shagamu', '190 Pleasure Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 94362, 'Pingshanhu', '82 Killdeer Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 29605, 'Manzil Bū Zalafah', '87 Bunker Hill Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 96565, 'Shlissel’burg', '0 Grasskamp Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 67680, 'Skórzec', '5 Milwaukee Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 77688, 'Podol’sk', '67499 Ruskin Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 37665, 'Jianrao', '6 Jenifer Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 32983, 'Qaryat al Qābil', '493 Lien Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 10461, 'Thabazimbi', '8079 Becker Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 55328, 'Knoxville', '93 Hintze Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 98374, 'Zhangjiayuan', '9693 Merrick Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 62683, 'Baghlān', '774 Hanover Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 50725, 'Čakovec', '7818 Clyde Gallagher Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 63645, 'Kamiiso', '3 Hooker Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 30609, 'Syamzha', '8 Forster Drive');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 54486, 'Homagama', '77 Meadow Valley Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 47092, 'Lukunor', '639 Cambridge Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 69055, 'Wola Uhruska', '7 Chive Way');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 64465, 'Baluk', '8403 Talisman Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 11267, 'El Soberbio', '11 Ridgeway Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 38957, 'Jarinu', '72927 Anzinger Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 12264, 'Lingkou', '3 Gulseth Court');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 27562, 'Zhenwen', '73203 Oneill Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 51968, 'Guanyinge', '4 Springview Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 75057, 'Pakenjeng', '3834 Troy Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 55372, 'Dolní Bojanovice', '30548 Myrtle Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 89590, 'Sempu', '389 Cascade Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 67611, 'Chropyně', '889 Marquette Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 74081, 'Malian', '6969 Heffernan Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 53933, 'Minūf', '90930 Mitchell Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 95067, 'Oslo', '6247 New Castle Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 26589, 'Chang’an', '56 Pepper Wood Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 38684, 'Chimen', '226 Bunker Hill Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 91373, 'Hobaramachi', '0 Leroy Drive');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 50257, 'Slavkov u Brna', '99316 Coleman Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 52114, 'Jun’an', '75520 Talmadge Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 42029, 'Sevsk', '96 Kedzie Hill');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 75084, 'Sanxi', '82334 Sundown Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 25520, 'Ramalhal', '74223 Chinook Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 62563, 'Archángelos', '46354 Vernon Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 62278, 'Dadukou', '9 Meadow Ridge Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 39928, 'São Lourenço', '15 Towne Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 37522, 'Velestíno', '275 Loeprich Park');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 28594, 'Liljendal', '2 Melby Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 86180, 'Valence', '9 Goodland Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 79247, 'Kosava', '257 Summer Ridge Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 97922, 'Butuan', '9 Acker Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 72820, 'Manila', '40318 Eggendart Center');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 97480, 'Chon Daen', '8947 Hagan Trail');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 80955, 'Shiroi', '195 Ilene Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 58262, 'Ketangi', '096 Buena Vista Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 43992, 'Makabe', '1898 Shasta Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 40487, 'Dapdap', '10 Red Cloud Terrace');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 31280, 'Rio Claro', '82 Norway Maple Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 69898, 'Halayhay', '85 Aberg Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 95661, 'Sarvaš', '74589 Anderson Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 84988, 'Xiapu', '99 Monument Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 65477, 'Täby', '245 Comanche Road');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 80495, 'Lelydorp', '9869 Acker Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 52158, 'Greeley', '2 Sunfield Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 24662, 'Clervaux', '19 Spohn Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 61628, 'Zhongba', '6667 Sachtjen Junction');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 71984, 'El Almendro', '3 Hanson Street');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 24477, 'Soio', '24347 Portage Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 51055, 'Mingjing', '5 Sachs Lane');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 49506, 'Rudnyy', '61 Jackson Avenue');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 70824, 'Dalmeny', '482 Sage Crossing');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 13470, 'União da Vitória', '100 Erie Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 19319, 'Salakuray', '528 Hoard Alley');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 63353, 'Biliri', '4257 Glendale Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 17266, 'Las Yaras', '3045 Veith Plaza');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 81538, 'Doumen', '0163 Kennedy Place');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 75451, 'Okpoma', '501 Gerald Pass');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 61873, 'Velingrad', '8019 Spaight Parkway');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 54912, 'Cantoria', '5 Talmadge Circle');
insert into ADDRESS (id, POSTAL_CODE, CITY, STREET) values (address_seq.nextval, 25140, 'Fakel', '4 Straubel Circle');
